Input;;;;;;;output;;;;;;;
File di input;Perc. Q.tà hub per gravità;Perc. Q.tà disponibile;Perc. Rimanenza;Q.tà disponibile;Spreco;Rimanenza;File di output;Num. Mezzi ;Funzione obiettivo;Efficacia Ae norm;Costi Kv norm;Efficacia Ae non norm;Costi Kv non norm;Tempo di esecuzione
I_50_16_16_16_3_10_5_.txt;50%16%16%16%;10%;5%;143537;2218;7176;O_50_16_16_16_3_10_5_.txt;4;243.019;5.03E-05;0.313439;8.82009;607.377;4.70938
I_50_16_16_16_3_10_10_.txt;50%16%16%16%;10%;10%;143537;2218;14353;O_50_16_16_16_3_10_10_.txt;4;247.157;5.03E-05;0.328769;8.82009;617.722;4.35074
I_50_16_16_16_3_20_2_.txt;50%16%16%16%;20%;2%;127588;1971;2551;O_50_16_16_16_3_20_2_.txt;4;243.035;4.00E-05;0.316026;7.02206;607.374;3.98185
I_50_16_16_16_3_20_5_.txt;50%16%16%16%;20%;5%;127588;1971;6379;O_50_16_16_16_3_20_5_.txt;4;248.601;4.00E-05;0.323473;7.02206;621.289;3.86091
I_50_16_16_16_3_20_10_.txt;50%16%16%16%;20%;10%;127588;1971;12758;O_50_16_16_16_3_20_10_.txt;4;239.411;4.00E-05;0.309981;7.02206;598.313;3.75124
I_16_16_16_50_1_5_2_.txt;16%16%16%50%;5%;2%;151511;2341;3030;O_16_16_16_50_1_5_2_.txt;4;225.919;6.05E-05;0.286131;13.0141;564.682;4.51401
I_16_16_16_50_1_5_5_.txt;16%16%16%50%;5%;5%;151511;2552;7575;O_16_16_16_50_1_5_5_.txt;4;232.139;6.05E-05;0.311426;13.0141;580.231;4.38402
I_16_16_16_50_1_5_10_.txt;16%16%16%50%;5%;10%;151511;2552;15151;O_16_16_16_50_1_5_10_.txt;4;218.899;6.05E-05;0.285571;13.0141;547.133;4.39882
I_16_16_16_50_1_10_2_.txt;16%16%16%50%;10%;2%;143537;2418;2870;O_16_16_16_50_1_10_2_.txt;4;228.939;5.39E-05;0.299611;11.5963;572.219;4.43477
I_16_16_16_50_1_10_5_.txt;16%16%16%50%;10%;5%;143537;2418;7176;O_16_16_16_50_1_10_5_.txt;4;218.794;5.39E-05;0.277864;11.5963;546.857;4.26799
I_16_16_16_50_1_10_10_.txt;16%16%16%50%;10%;10%;143537;2418;14353;O_16_16_16_50_1_10_10_.txt;4;231.725;5.39E-05;0.304188;11.5963;579.183;4.14032
I_16_16_16_50_1_20_2_.txt;16%16%16%50%;20%;2%;127588;2149;2551;O_16_16_16_50_1_20_2_.txt;4;240.358;4.26E-05;0.313775;9.16679;600.73;3.75533
I_16_16_16_50_1_20_5_.txt;16%16%16%50%;20%;5%;127588;2149;6379;O_16_16_16_50_1_20_5_.txt;4;253.821;4.26E-05;0.319082;9.16679;634.388;3.77097
I_16_16_16_50_1_20_10_.txt;16%16%16%50%;20%;10%;127588;2149;12758;O_16_16_16_50_1_20_10_.txt;4;233.84;4.26E-05;0.30448;9.16679;584.436;3.90385
I_16_16_16_50_2_5_2_.txt;16%16%16%50%;5%;2%;151511;2552;3030;O_16_16_16_50_2_5_2_.txt;4;224.868;5.81E-05;0.292639;12.5936;562.05;4.43773
I_16_16_16_50_2_5_5_.txt;16%16%16%50%;5%;5%;151511;2552;7575;O_16_16_16_50_2_5_5_.txt;4;250.553;5.81E-05;0.334721;12.5936;626.263;4.43988
I_16_16_16_50_2_5_10_.txt;16%16%16%50%;5%;10%;151511;2552;15151;O_16_16_16_50_2_5_10_.txt;4;238.469;5.81E-05;0.301359;12.5936;596.054;4.43528
I_16_16_16_50_2_10_2_.txt;16%16%16%50%;10%;2%;143537;4127;2870;O_16_16_16_50_2_10_2_.txt;4;216.262;5.16E-05;0.283668;11.1954;540.521;4.27001
I_16_16_16_50_2_10_5_.txt;16%16%16%50%;10%;5%;143537;4127;7176;O_16_16_16_50_2_10_5_.txt;4;238.561;5.16E-05;0.312855;11.1954;596.269;4.15622
I_16_16_16_50_2_10_10_.txt;16%16%16%50%;10%;10%;143537;4127;14353;O_16_16_16_50_2_10_10_.txt;4;221.744;5.16E-05;0.298537;11.1954;554.227;4.33863
I_16_16_16_50_2_20_2_.txt;16%16%16%50%;20%;2%;127588;3669;2551;O_16_16_16_50_2_20_2_.txt;4;210.332;4.05E-05;0.27636;8.77752;525.66;3.71204
I_16_16_16_50_2_20_5_.txt;16%16%16%50%;20%;5%;127588;3669;6379;O_16_16_16_50_2_20_5_.txt;4;204.175;4.05E-05;0.268948;8.77752;510.266;3.69882
I_16_16_16_50_2_20_10_.txt;16%16%16%50%;20%;10%;127588;972;12758;O_16_16_16_50_2_20_10_.txt;4;245.818;4.05E-05;0.319795;8.77752;614.373;3.74419
I_16_16_16_50_3_5_2_.txt;16%16%16%50%;5%;2%;151511;1155;3030;O_16_16_16_50_3_5_2_.txt;4;214.456;5.67E-05;0.280894;12.3635;536.019;4.41594
I_16_16_16_50_3_5_5_.txt;16%16%16%50%;5%;5%;151511;3514;7575;O_16_16_16_50_3_5_5_.txt;4;229.117;5.67E-05;0.302122;12.3635;572.671;4.39466
I_16_16_16_50_3_5_10_.txt;16%16%16%50%;5%;10%;151511;3514;15151;O_16_16_16_50_3_5_10_.txt;4;236.885;5.67E-05;0.318046;12.3635;592.091;4.4373
I_16_16_16_50_3_10_2_.txt;16%16%16%50%;10%;2%;143537;3329;2870;O_16_16_16_50_3_10_2_.txt;4;221.014;5.17E-05;0.298;11.2658;552.403;4.16098
I_16_16_16_50_3_10_5_.txt;16%16%16%50%;10%;5%;143537;3329;7176;O_16_16_16_50_3_10_5_.txt;4;237.748;5.17E-05;0.303727;11.2658;594.236;4.1852
I_16_16_16_50_3_10_10_.txt;16%16%16%50%;10%;10%;143537;3329;14353;O_16_16_16_50_3_10_10_.txt;4;213.636;5.17E-05;0.280122;11.2658;533.958;4.33483
I_16_16_16_50_3_20_2_.txt;16%16%16%50%;20%;2%;127588;2959;2551;O_16_16_16_50_3_20_2_.txt;4;245.12;4.22E-05;0.311813;9.19141;612.636;3.73746
I_16_16_16_50_3_20_5_.txt;16%16%16%50%;20%;5%;127588;2959;6379;O_16_16_16_50_3_20_5_.txt;4;210.511;4.22E-05;0.279856;9.19141;526.115;3.76598
I_16_16_16_50_3_20_10_.txt;16%16%16%50%;20%;10%;127588;2959;12758;O_16_16_16_50_3_20_10_.txt;4;227.774;4.22E-05;0.299172;9.19141;569.272;3.81464
I_16_50_16_16_1_5_2_.txt;16%50%16%16%;5%;2%;151511;496;3030;O_16_50_16_16_1_5_2_.txt;4;207.239;5.98E-05;0.272041;10.5841;517.955;4.37906
I_16_50_16_16_1_5_5_.txt;16%50%16%16%;5%;5%;151511;2244;7575;O_16_50_16_16_1_5_5_.txt;4;251.702;5.98E-05;0.334967;10.5841;629.114;4.32462
I_16_50_16_16_1_5_10_.txt;16%50%16%16%;5%;10%;151511;2244;15151;O_16_50_16_16_1_5_10_.txt;4;226.501;5.98E-05;0.3039;10.5841;566.11;4.35442
I_16_50_16_16_1_10_2_.txt;16%50%16%16%;10%;2%;143537;2126;2870;O_16_50_16_16_1_10_2_.txt;4;223.927;5.26E-05;0.294378;9.29838;559.657;4.13034
I_16_50_16_16_1_10_5_.txt;16%50%16%16%;10%;5%;143537;2126;7176;O_16_50_16_16_1_10_5_.txt;4;215.955;5.26E-05;0.273657;9.29838;539.727;4.37442
I_16_50_16_16_1_10_10_.txt;16%50%16%16%;10%;10%;143537;2126;14353;O_16_50_16_16_1_10_10_.txt;4;220.195;5.26E-05;0.278916;9.29838;550.326;4.11785
